ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z
1,11,111,204,721,482,709,465,713.6936936936937,471.84684684684686,1.7534863722270937,0.8775255434672675,11.888212206450685,1,0.5441176470588235,0.5702924276108889,18.358958685971878,17.08800749063506,3.605551275463989,1.773853462623206,1.4142135623730951,9.093474317761348,8.803669537956878,-25.833105077660584,49.45584412271571,0.8283582089552238,713.6936936936937,471.84684684684686,0
1,12,43,72,687,483,679,474,683.0697674418604,478.5348837209302,1.131610391379113,0.8894316014286786,7.399277020331919,1,0.5972222222222222,0.8836963743159719,11.08869897196575,10.63014581273465,2.8284271247461903,1.4550027022871903,1.4142135623730951,4.242640687119285,5.0682927339255235,-41.27374802915551,24.727922061357855,0.9555555555555556,683.0697674418604,478.5348837209302,0
1,13,54,80,50,487,42,477,44.75925925925926,481.77777777777777,1.167106477735074,0.6512405635900518,8.291859587312052,1,0.675,0.8568198524102391,9.765443199290626,9.219544457292887,3.1622776601683795,1.6199158880798674,1.4142135623730951,6.870727512550919,7.410715079977095,12.623729847758963,28.14213562373095,0.8709677419354839,44.75925925925926,481.77777777777777,0
1,14,138,195,615,495,602,480,607.7463768115942,486.6159420289855,1.0768221341078001,0.671617944948079,13.255453865237978,1,0.7076923076923077,0.9286584741578969,15.502763306408639,14.866068747318506,5.656854249492381,2.41227602346227,2.23606797749979,11.180339887498949,11.48596098851825,-26.507237192065524,43.213203435596434,0.9324324324324325,607.7463768115942,486.6159420289855,0
1,15,71,100,579,498,569,488,573.9859154929577,492.2535211267606,0.9791142353404743,0.6673867338252416,9.507891862878783,1,0.71,1.0213312848548903,11.076837888570704,10.63014581273465,4.242640687119285,1.9000469065682768,1.4142135623730951,7.0710678118654755,8.249046545923193,44.94675738083882,29.556349186104047,0.9466666666666667,573.9859154929577,492.2535211267606,0
1,16,22,30,220,504,214,499,216.0,501.1818181818182,0.8215906780822317,0.7386897096864313,5.292567428401227,1,0.7333333333333333,1.217151102948507,6.4530858370083255,5.830951894845301,2.23606797749979,1.3133146466814625,1.0,3.5355339059327378,4.3496743155409865,53.110096847801394,15.071067811865476,1.0,216.0,501.1818181818182,0
1,17,23,36,689,508,683,502,685.4782608695652,504.60869565217394,0.8113776709510135,0.3839896028838194,5.4115163798060095,1,0.6388888888888888,1.2324716784822323,5.656854249492381,5.0990195135927845,2.23606797749979,1.3307695160483057,1.0,4.242640687119285,5.223185188758681,78.69006752597979,15.31370849898476,0.9583333333333334,685.4782608695652,504.60869565217394,0
1,18,9,9,220,510,217,507,218.0,508.0,0.5658842421045168,0.0,3.385137501286538,1,1.0,1.7671458676442586,3.265986323710904,2.8284271247461903,2.0,1.1111111111111112,1.0,2.0,3.265986323710904,45.0,8.0,1.0,218.0,508.0,0
1,19,176,224,640,529,624,515,631.4602272727273,521.9090909090909,1.033034690462675,0.49192575779026104,14.96964127403822,1,0.7857142857142857,0.9680217026904688,16.09299377349714,15.811388300841896,6.708203932499369,2.7699074617014077,2.23606797749979,13.0,14.011158251137328,-84.17236140899783,47.79898987322332,0.9565217391304348,631.4602272727273,521.9090909090909,0
1,20,15,16,360,535,356,531,357.6,532.6,0.6911795258719621,0.4898979485566358,4.370193722368317,1,0.9375,1.446802115179039,4.618802153517007,4.242640687119285,2.0,1.2276142374915398,1.0,3.0,4.026578365477733,45.0,11.414213562373096,1.0,357.6,532.6,0
