ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z
1,15,632,920,616,401,593,361,603.251582278481,379.19462025316454,1.2971300825938252,0.8610611873059234,28.367012395961314,1,0.6869565217391305,0.770932702447495,40.100000049652905,40.80441152620633,10.770329614269007,4.274691531381289,4.0,20.82532395059099,20.390904505789436,-19.208030578260264,101.49747468305833,0.9619482496194824,603.251582278481,379.19462025316454,0
1,16,774,1240,762,407,731,367,745.1912144702842,388.9431524547804,1.2585499309743622,0.616422370043198,31.39247374172695,1,0.6241935483870967,0.7945652177866361,35.92290393734162,39.11521443121589,13.892443989449804,5.063652756054949,4.47213595499958,28.144271175498577,28.286258027578583,10.10545839740258,110.63961030678928,0.9473684210526315,745.1912144702842,388.9431524547804,0
1,17,309,420,839,416,819,395,829.0550161812298,404.55016181229774,1.0529123253092678,0.5762780146683544,19.83509564693766,1,0.7357142857142858,0.9497466939673955,21.993101884686748,21.540659228538015,8.94427190999916,3.5321228508618505,3.0,16.97056274847714,17.973944423196485,-38.66522260783182,63.941125496954285,0.965625,829.0550161812298,404.55016181229774,0
1,18,1577,2070,801,435,755,390,777.7622067216233,412.59733671528215,1.1071705725983825,0.6143933603525584,44.809583372838354,1,0.7618357487922706,0.9032031962817912,50.49838440652229,50.60632371551998,20.0,7.499073526459176,6.708203932499369,39.59797974644666,39.8432188565916,-44.100806238042054,148.12489168102783,0.9764705882352941,777.7622067216233,412.59733671528215,0
1,19,503,840,514,431,490,396,499.83300198807154,411.6182902584493,1.2692090651936672,0.7383634072291559,25.30690599424961,1,0.5988095238095238,0.7878922609549839,31.62650885794011,34.0147027033899,10.198039027185569,3.987863474752752,3.605551275463989,21.14033569041533,21.329014152252665,12.042309721252435,89.5685424949238,0.9617590822179732,499.83300198807154,411.6182902584493,0
1,20,437,837,63,437,36,406,46.97025171624714,421.00228832951944,1.54408100999987,0.9092801881232628,23.58825303088947,1,0.5221027479091995,0.6476344139483227,37.3560600318895,39.05124837953327,7.810249675906654,3.346597933408103,3.0,15.263374077683286,15.547013231249538,-38.71098611586862,92.08326112068522,0.95,46.97025171624714,421.00228832951944,0
1,21,343,552,520,440,497,416,509.3731778425656,429.3673469387755,1.2169980883656197,0.6324583813619661,20.897874625046462,1,0.6213768115942029,0.8216939776322577,24.47703380812814,25.495097567963924,8.54400374531753,3.4102272030641636,3.0,18.344056933480147,18.959771915466764,-49.29026875335453,72.42640687119285,0.9475138121546961,509.3731778425656,429.3673469387755,0
1,22,780,1377,86,444,59,393,73.48589743589744,418.04615384615386,1.5657185950120438,0.9213457366807788,31.513915099419602,1,0.5664488017429193,0.6386843735430681,51.732059401161834,51.19570294468082,10.0,4.178401147214678,4.0,20.516520216887532,20.110536746549588,-16.01800285331675,123.88225099390857,0.9500609013398295,73.48589743589744,418.04615384615386,0
1,23,665,1160,72,470,43,430,56.929323308270675,449.49924812030076,1.3120501491783816,0.6987769959477265,29.098183744847088,1,0.5732758620689655,0.7621659893306744,35.011956270109046,39.01281840626232,11.661903789690601,4.563702440361699,4.123105625617661,23.194495368181983,25.045437976253286,-19.39196154506739,104.71067811865474,0.9379407616361072,56.929323308270675,449.49924812030076,0
1,24,226,462,671,474,650,452,659.5796460176991,461.61504424778764,1.5423560838925119,0.9250746812826094,16.96325844612841,1,0.48917748917748916,0.6483587094079184,27.857437633197744,27.65863337187866,5.385164807134504,2.46438546745284,2.23606797749979,10.606601717798213,10.579843840050597,-40.74406669883863,66.18376618407356,0.9186991869918699,659.5796460176991,461.61504424778764,0
1,25,637,920,727,493,704,453,715.0235478806908,472.5777080062794,1.2869485277853963,0.8170494951170412,28.479002615897535,1,0.6923913043478261,0.777031853574453,37.858761701017436,39.81205847478876,11.180339887498949,4.408382819740646,4.0,22.0,21.828132915818337,-9.386619947231926,101.49747468305831,0.9578947368421052,715.0235478806908,472.5777080062794,0
1,26,934,1638,703,493,664,451,683.6413276231264,472.73768736616705,1.3731923555006669,0.9042413371517115,34.484862400517734,1,0.5702075702075702,0.7282300953644614,53.140829342574655,51.73973328110612,11.313708498984761,4.851647907811997,4.47213595499958,21.920310216782973,22.69229176002846,-40.71842717493547,126.95331880577405,0.9678756476683937,683.6413276231264,472.73768736616705,0
1,27,576,828,59,496,36,460,47.072916666666664,477.90625,1.238179667824916,0.7876312452514088,27.081100010292303,1,0.6956521739130435,0.8076372322901076,34.81250426286404,35.510561809129406,10.295630140987,4.296817636443931,4.0,20.981989954220843,21.449617123059593,2.5562598170941904,94.66904755831214,0.9427168576104746,47.072916666666664,477.90625,0
1,28,363,540,618,503,598,476,607.7190082644628,488.3112947658402,1.1874499056103378,0.7162693176906987,21.498510523728477,1,0.6722222222222223,0.8421407886558463,25.94296422992285,26.1725046566048,8.94427190999916,3.562655048386558,3.1622776601683795,17.708754896942924,18.103621761389217,-14.235344217447722,73.59797974644665,0.9404145077720207,607.7190082644628,488.3112947658402,0
1,29,237,361,583,502,564,483,574.0210970464135,491.65400843881855,1.1501460967348547,0.3791452539057672,17.371176474327626,1,0.6565096952908587,0.8694547613028433,18.494223753225647,18.681541692269406,7.0710678118654755,2.957604342384169,2.8284271247461903,16.90086815114227,17.113392651739613,56.188568938146446,58.52691193458118,0.92578125,574.0210970464135,491.65400843881855,0
1,30,684,957,230,522,201,489,214.77777777777777,505.4108187134503,1.1247860225276005,0.7018407479396153,29.51094455619561,1,0.7147335423197492,0.889057989672397,35.064694561261796,34.132096331752024,12.083045973594572,4.905744022629838,4.47213595499958,24.006004150922696,24.977770123156432,34.728706970998765,98.32590180780453,0.9674681753889675,214.77777777777777,505.4108187134503,0
