ImageNumber,Nucleus,Centriole1,Centriole2,Cilia,Nuc_Cent1,Nuc_Cent2,Nuc_Cil,Cent1_Cil,Cent2_Cil,Cent1_Cent2
1,81,,,24,,,40.257992431707024,,,
1,87,,,25,,,29.445074660199996,,,
2,8,1,,5,6.092604331332773,,50.28758733766312,44.76309084202522,,
2,9,2,,,6.500038166423717,,,,,
2,20,4,,,5.719902657160353,,,,,
2,21,5,,,2.0172006260248505,,,,,
2,37,6,,,3.4482960600904953,,,,,
2,41,8,,,5.113754686580464,,,,,
2,43,9,,,12.322797777699092,,,,,
2,45,11,,,3.9590591884305852,,,,,
2,49,12,,,3.8513553948562174,,,,,
2,53,13,,,9.04969391655638,,,,,
2,54,14,,,3.1398123230259305,,,,,
2,60,16,17,,6.505330508654231,6.86462554929083,,,,13.127474873221747
2,61,20,,,0.8408458243677724,,,,,
2,63,19,,,4.635128965434804,,,,,
2,75,21,,,7.541907667841796,,,,,
2,76,22,,,3.0777372147158704,,,,,
2,84,23,,26,12.858658615579952,,19.835820819810568,7.166853932906236,,
2,95,27,,,3.467591352442823,,,,,
2,96,31,30,,6.330178813094551,6.752951284047948,,,,13.074975386301759
2,99,32,,35,1.4398662378412281,,6.7208380557045775,8.146878557602909,,
2,108,34,,,6.5392424861817675,,,,,
2,116,37,,,5.794447074677131,,,,,
2,122,38,,43,9.186195924630441,,19.700791881179608,27.379625204478067,,
2,5,,,1,,,31.42866129013949,,,
2,2,,,2,,,33.75794541219976,,,
2,4,,,3,,,25.175002313929557,,,
2,6,,,4,,,10.317689679399598,,,
2,14,,,6,,,20.380582122854708,,,
2,19,,,7,,,19.421005819719127,,,
2,32,,,8,,,13.631533957754737,,,
2,34,,,9,,,13.977719965089024,,,
2,52,,,10,,,16.6276076173721,,,
2,46,,,11,,,14.50698041751395,,,
2,44,,,12,,,33.08795815997708,,,
2,57,,,13,,,15.253978472587677,,,
2,58,,,14,,,16.99712037497438,,,
2,59,,,15,,,18.923411222018597,,,
2,50,,,16,,,48.91878377658073,,,
2,72,,,17,,,26.256276616438576,,,
2,65,,,18,,,10.133551560954139,,,
2,67,,,19,,,34.21493280227154,,,
2,68,,,20,,,30.599797094049094,,,
2,69,,,21,,,36.353244303130346,,,
2,73,,,22,,,31.671787133382924,,,
2,74,,,23,,,77.29607116945505,,,
2,85,,,24,,,25.17902997577692,,,
2,83,,,25,,,18.793697228732647,,,
2,86,,,27,,,8.179965412658522,,,
2,88,,,28,,,32.569711844519226,,,
2,89,,,29,,,23.217687120055373,,,
2,91,,,30,,,37.060523451923515,,,
2,92,,,31,,,21.53841057808137,,,
2,94,,,32,,,23.47066230642301,,,
2,98,,,33,,,33.01970976719931,,,
2,97,,,34,,,29.2480629110969,,,
2,100,,,36,,,23.083600767348383,,,
2,105,,,37,,,37.12752435464851,,,
2,104,,,38,,,33.670896248796396,,,
2,102,,,39,,,31.14159635848942,,,
2,106,,,40,,,12.563730650970077,,,
2,107,,,41,,,16.473395870158022,,,
2,112,,,42,,,25.7883913492631,,,
2,119,,,44,,,33.47385029193104,,,
3,3,1,,,2.7741557145529234,,,,,
3,4,2,,1,3.7720600714857304,,73.44485501666539,76.67703236311934,,
3,14,4,,9,6.151453039224927,,27.91948076218172,30.817053088677355,,
3,21,6,,,0.9319163699347781,,,,,
3,24,7,,11,3.7655170078104665,,19.383226786657254,22.471727274540385,,
3,25,8,,,2.8931109849540064,,,,,
3,36,9,,,6.197425236422161,,,,,
3,52,15,,21,7.722198981394585,,29.448279915055533,31.864912414960557,,
3,53,14,,22,13.396700361872483,,16.54144378067552,4.946952146096214,,
3,66,17,,,2.245889240413283,,,,,
3,74,19,,32,11.752253654008335,,15.701127619806753,25.519275122498588,,
3,84,21,,,4.630931055425845,,,,,
3,87,22,,35,9.316436686581858,,28.554065109013234,36.6482761916648,,
3,97,24,,41,7.738815428399886,,8.438958188997674,1.9092511772667944,,
3,100,27,,,1.2653154593869962,,,,,
3,102,26,,,6.266857367538607,,,,,
3,105,28,,,8.538490385964794,,,,,
3,109,31,,45,8.769499919601808,,20.899697738886477,12.495350697859585,,
3,110,32,29,,4.426321481888411,6.277199799638439,,,,10.035560391659192
3,113,34,,,1.8662509441083168,,,,,
3,114,35,,,4.820957473657785,,,,,
3,116,36,,,4.056325849224333,,,,,
3,117,37,,48,1.251112992249919,,7.951656567578238,7.867933386612514,,
3,118,40,41,,5.958062625988306,7.746536390659155,,,,13.70331308111628
3,120,42,,49,13.597437023888995,,29.020876611209793,41.844123411328624,,
3,123,43,,,1.0380576404670856,,,,,
3,130,45,46,53,8.00134411804191,10.518995680476742,10.527804899985357,12.573384588089274,20.110949116051763,16.819617522633536
3,2,,,2,,,26.55218303790428,,,
3,1,,,3,,,34.35549661907247,,,
3,5,,,4,,,39.49244813677241,,,
3,8,,,5,,,37.78827363673096,,,
3,11,,,6,,,19.726974670031463,,,
3,13,,,7,,,28.34197203212509,,,
3,15,,,8,,,23.934285721282645,,,
3,22,,,10,,,23.234874428978532,,,
3,28,,,12,,,24.303825820791328,,,
3,37,,,13,,,10.01329315054296,,,
3,38,,,14,,,22.919941065441304,,,
3,43,,,15,,,25.22652690836459,,,
3,45,,,16,,,55.47879663090973,,,
3,40,,,17,,,35.91468328556151,,,
3,48,,,18,,,24.528015749351994,,,
3,49,,,19,,,21.198411787812358,,,
3,47,,,20,,,15.313641114722207,,,
3,42,,,23,,,52.84448557621212,,,
3,56,,,24,,,24.584247123583836,,,
3,58,,,25,,,47.63958079198713,,,
3,61,,,26,,,15.521421025672865,,,
3,62,,,27,,,24.707753548860687,,,
3,69,,,28,,,38.24514882096781,,,
3,72,,,29,,,18.31993499147374,,,
3,65,,,30,,,48.52947799343309,,,
3,76,,,31,,,19.254889123801284,,,
3,78,,,33,,,35.667931364180845,,,
3,82,,,34,,,22.050051948196334,,,
3,86,,,36,,,31.202303182947123,,,
3,79,,,37,,,71.270019780114,,,
3,88,,,38,,,70.68704488822289,,,
3,94,,,39,,,16.989813921088913,,,
3,98,,,40,,,39.46562734889084,,,
3,92,,,42,,,57.048871703014754,,,
3,96,,,43,,,21.59015076317828,,,
3,107,,,44,,,39.98454791978715,,,
3,112,,,46,,,10.917636210928494,,,
3,115,,,47,,,16.067141761023187,,,
3,125,,,50,,,9.992508332700085,,,
3,126,,,51,,,43.936058936554616,,,
3,129,,,52,,,20.65007652427234,,,
3,131,,,54,,,53.69637904827654,,,
4,20,12,,,4.809369557884381,,,,,
4,28,15,,12,13.093953254118457,,36.419885725865996,42.529042817601905,,
4,37,17,,,1.8000668314059844,,,,,
4,49,19,,,2.797471267295653,,,,,
